Date/Time,GF_LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),GF_KITCHEN:Zone Mean Air Temperature [C](Hourly),UF_BEDROOM:Zone Mean Air Temperature [C](Hourly),UF_BATHROOM:Zone Mean Air Temperature [C](Hourly),UF_STORAGE_ROOM:Zone Mean Air Temperature [C](Hourly),BUFFERTANK:Water Heater Tank Temperature [C](Hourly),DHW_TANK:Water Heater Tank Temperature [C](Hourly) 
 01/01  01:00:00,19.21420014231895,18.506631066387307,17.307141595786124,17.718207755415612,18.073939167793192,59.05725652853326,50.60020855899018 
 01/01  02:00:00,19.200057137585272,18.36361838554358,17.207251106371583,17.694592070968195,17.951281655120056,59.07426778010511,50.573501539222484 
 01/01  03:00:00,19.161477851810456,18.24896151976359,17.1168413779204,17.642491956281752,17.858091234779092,59.011549257542804,50.539883269530115 
 01/01  04:00:00,19.11526565185246,18.135629849788785,17.036259649249164,17.584830395204147,17.771113812193963,58.905994062668476,50.5068490353254 
 01/01  05:00:00,19.070665570978683,18.027901381480156,16.9653507534294,17.526004530824103,17.691099249544674,58.89521085281295,50.47305042812173 
 01/01  06:00:00,19.031341667693574,17.928747734311283,16.901758912776025,17.472485854613897,17.61884566993696,59.123602828067874,50.43907872939567 
 01/01  07:00:00,18.935793638457724,17.828445750768186,16.9141911266033,17.3943053585637,17.575733049865498,58.91360024709592,50.33758690396354 
 01/01  08:00:00,18.883156884707983,17.71408327464364,16.864188136633572,17.3032244763112,17.50912212960712,58.96148824790812,50.590421826773564 
 01/01  09:00:00,18.861802476973917,17.597815969182744,16.586576666319253,17.22701012849168,17.342291773301806,59.03365012506541,50.638531209624716 
 01/01  10:00:00,18.98623143459101,17.79449079782814,16.575903970115938,17.317469736729006,17.339155907978352,58.90759885114206,50.35305900576806 
 01/01  11:00:00,19.179689139599578,18.120474259564034,16.64104037346384,17.518487702281167,17.421632064428273,59.07923035035343,50.62034909290289 
 01/01  12:00:00,19.29398174953708,18.323290489783872,16.6900476061307,17.656472393291413,17.518134483806442,58.84014228209016,50.344849212161044 
 01/01  13:00:00,19.4182770403713,18.4269504048118,16.81547909712551,17.772151983898915,17.664576902359535,59.055074004685004,50.62740196540341 
 01/01  14:00:00,19.499578180162924,18.557530701713457,16.980493255867323,17.881743049179057,17.82953882725769,59.04949529596465,50.339834397603866 
 01/01  15:00:00,19.535574655986174,18.639719229048147,17.174815498822582,17.923760936029495,17.965685826187716,58.999312239399565,50.631677926906605 
 01/01  16:00:00,19.564740754786946,18.723616549081925,17.29410739354049,17.96493300992948,18.090980320526572,58.98350846093757,50.33697515455147 
 01/01  17:00:00,19.54235143687657,18.77740834947296,17.314438260241918,17.971541930033446,18.168815028296336,58.97768335433181,50.6340283366505 
 01/01  18:00:00,19.649621734072717,19.142567342194056,17.893927675934002,18.24957906589995,18.606830553468942,59.01918375764853,50.33697293820438 
 01/01  19:00:00,19.588390058385322,19.160250255910192,17.921422080843296,18.205975944888735,18.625026365216506,58.84316570108397,50.40448671438995 
 01/01  20:00:00,19.512580951042153,19.107656604633164,17.901566581725266,18.109008804854,18.59159729855729,58.871449010516386,50.514930593727385 
 01/01  21:00:00,19.500614573671015,19.088518455218523,17.893772254854156,18.08262483920178,18.568894629413784,59.16670413765721,50.69037364671138 
 01/01  22:00:00,19.40385894078761,19.00222806706111,17.819083775338427,17.99433808804212,18.48561251315595,59.02832660839217,50.3309656668917 
 01/01  23:00:00,19.284914278625806,18.827864782815812,17.718827850882565,17.81535568101513,18.36910653217179,58.98390455758613,50.73739779007394 
 01/01  24:00:00,19.199488135040554,18.617229017094072,17.4123386852831,17.684992905423286,18.155030723257298,58.98420032528966,50.42136713774813 
 01/02  01:00:00,19.11783192686866,18.38650777409384,17.167053287116104,17.584791335309582,17.933552583759145,58.95595377920596,50.573295466468736 
 01/02  02:00:00,19.10878006631708,18.227494464069203,17.065005989535795,17.52564037715311,17.81648709810775,58.884465942390946,50.53988001220319 
 01/02  03:00:00,19.107120330007806,18.166874856408917,16.99684648577427,17.537766922463202,17.748946783354988,58.951905634308645,50.50658202797581 
 01/02  04:00:00,19.022926230305963,18.012237572273055,16.89065745254363,17.43795371165441,17.633794468529068,59.10488937666243,50.4727955916327 
 01/02  05:00:00,18.927003666317585,17.840117824660204,16.780677135858028,17.317315690523625,17.518052888546187,58.908774297894134,50.43863781227726 
 01/02  06:00:00,18.906574029941808,17.736760480677816,16.71661536725069,17.26894049319026,17.44941107671345,58.98220693703847,50.40448224740956 
 01/02  07:00:00,18.949822223319522,17.762611794265347,16.79742537351849,17.333560678765913,17.485866137143848,59.030272156152094,50.36377595526411 
 01/02  08:00:00,18.871634471916973,17.673949678620936,16.73912856563743,17.269958828375884,17.41542183486074,58.86079225979976,50.55748874345521 
 01/02  09:00:00,18.809506364560782,17.48464030612955,16.43004744638474,17.109737044094423,17.209697740715587,59.09960775048957,50.707725749080716 
 01/02  10:00:00,18.855666898319438,17.723721063622968,16.451006700292268,17.186891498400634,17.247601673481068,58.926606606383885,50.2517016451726 
 01/02  11:00:00,18.750451750760195,18.07543626602803,16.507060794098237,17.400489101073344,17.34944542300709,59.044860747310715,50.719638964922 
 01/02  12:00:00,18.9853742321649,18.30259022855711,16.60963353568302,17.618101861255717,17.455577282989218,58.84938904433716,50.24798195260985 
 01/02  13:00:00,19.153303230972604,18.426934698439723,16.763648833506515,17.725474438018956,17.623330779279364,59.124899055861405,50.72315345706283 
 01/02  14:00:00,19.511483554919103,18.568838913978254,16.911051423381956,17.852510523671256,17.776836452124172,58.94187496808641,50.246053682269086 
 01/02  15:00:00,19.537424747215663,18.628258770172867,17.04753192314456,17.900166341937407,17.888114210789517,58.89920966821047,50.72477320719696 
 01/02  16:00:00,19.516359953057528,18.649335705122915,17.166281468742348,17.878906180789873,17.965064634087096,58.89600543486854,50.24480735421814 
 01/02  17:00:00,19.476006710486402,18.637316417073055,17.173792168820857,17.848810893378488,18.015265742400686,58.9918514734819,50.725863078575415 
 01/02  18:00:00,19.567174156218023,19.001093280234123,17.725920083017463,18.09427929705132,18.43693899121126,58.945939675755085,50.24428636252386 
 01/02  19:00:00,19.48376102175429,18.98119410726619,17.7321791313635,18.016564559460864,18.428572006660794,59.12011451432338,50.73032055677276 
 01/02  20:00:00,19.397554746852144,18.911219137472642,17.703188538974253,17.905662059146277,18.384253860938017,59.06147270191685,50.312960666234375 
 01/02  21:00:00,19.405332965616296,18.90450094121528,17.703362325352487,17.89976370769511,18.373826322067345,59.008530564120136,50.68705226265106 
 01/02  22:00:00,19.34706371034958,18.863717392524904,17.64892379095324,17.869041050601965,18.317611320293143,58.982109765177285,50.449466960092536 
 01/02  23:00:00,19.272422770111273,18.744100046369844,17.571468768566046,17.752683127768655,18.229992147471663,58.97370606125333,50.59219780722827 
 01/02  24:00:00,19.17772862768485,18.527734845725067,17.25819270095066,17.620032722325018,17.97553336675007,58.98491008140998,50.50896238753556 
 01/03  01:00:00,19.11595178416151,18.283925037289873,17.02286446619064,17.51742046498549,17.78040619427527,58.92342174666268,50.548319249219894 
 01/03  02:00:00,19.00696809441696,18.079944163543626,16.86986916609823,17.38348429668235,17.628006780883084,58.84610379986179,50.515224307631094 
 01/03  03:00:00,18.97217828933584,17.93225236090832,16.774642562980404,17.302037894249658,17.527286863268714,59.156735041355475,50.48168697087348 
 01/03  04:00:00,18.892788424764426,17.800626100244948,16.671572462445717,17.233152089965778,17.424572040113176,58.93981095164534,50.447112102048834 
 01/03  05:00:00,18.845373713941292,17.653862445032733,16.582464887858073,17.141056334201497,17.32814953017659,58.970241816557,50.41272380772626 
 01/03  06:00:00,18.874934526262855,17.617870987513015,16.541339733939417,17.166632926415218,17.293059721322106,59.00580307992623,50.37790238738339 
 01/03  07:00:00,18.882807962689732,17.615034955309294,16.59990904525213,17.198150772101044,17.30542645961018,58.94888340766765,50.38919927362034 
 01/03  08:00:00,18.85673321680674,17.56152501409217,16.56585930945856,17.16258236453467,17.256718548536654,59.01300877735714,50.533466129831666 
 01/03  09:00:00,18.584020203298646,17.514635531814744,16.291099132391484,17.018211899966236,17.148166742598033,59.02967722405575,50.75218749213566 
 01/03  10:00:00,18.306960819228475,17.61860045266304,16.176616480913566,17.030848753461136,17.065771704956745,58.845612259606014,50.237487451240284 
 01/03  11:00:00,18.509622831802158,17.868406053478928,16.21514486204972,17.145771390429832,17.11146541680089,59.13230452666907,50.73243963129504 
 01/03  12:00:00,18.72506270778951,18.068538001155794,16.328907630612072,17.281109039593563,17.211269313454032,58.8203124647065,50.23943627270728 
 01/03  13:00:00,19.020060782023798,18.22943623761195,16.50584461434613,17.465309981016524,17.386552328664287,59.151265586952405,50.73083011904591 
 01/03  14:00:00,19.34944341187382,18.41012310050042,16.710736398064526,17.65969469099828,17.574550938299126,58.90274614466948,50.24082780100209 
 01/03  15:00:00,19.49983564143068,18.491610912761416,16.86613249086027,17.74127405562276,17.692268920547498,58.87519575230786,50.72946601026983 
 01/03  16:00:00,19.55659170887048,18.58216155526703,17.00327583378583,17.81127251709148,17.8237933864015,59.091638889988275,50.24188671981224 
 01/03  17:00:00,19.534860730823528,18.63269881784148,17.05001854451988,17.83956927298219,17.914137778803052,59.03972961659664,50.72843306163696 
 01/03  18:00:00,19.59517303707061,18.985374422036937,17.604386722258205,18.040850167983148,18.324198852999654,58.952012527664095,50.24215035382361 
 01/03  19:00:00,19.46714020560586,18.934183661267777,17.600983799469944,17.928290021343866,18.31122381473379,58.88877168630117,50.63481718385015 
 01/03  20:00:00,19.403361005101214,18.874766239058815,17.595867285077702,17.819530408998975,18.289880889404646,58.878555775148484,50.52681089520453 
 01/03  21:00:00,19.423885550979715,18.90884930017088,17.612301278169923,17.854753107721336,18.303566124587043,59.01750987127873,50.436387602141814 
 01/03  22:00:00,19.429245281522313,18.92402242635368,17.599137539743833,17.885175392042594,18.289121497795083,59.06472259138442,50.75619642588257 
 01/03  23:00:00,19.414459966561168,18.907074338233468,17.561268256709035,17.878287496482937,18.247112569234627,59.03438193693905,50.457440034110334 
 01/03  24:00:00,19.312620534069463,18.699270433746765,17.250885779546046,17.734394596302195,17.98355521940302,58.949574208703076,50.59110020761415 
 01/04  01:00:00,19.273234070392455,18.501933755652622,17.039579191310366,17.644102392982454,17.8198497534485,58.87282966278682,50.524829946475286 
 01/04  02:00:00,19.232696447521175,18.36444624590978,16.93965590463847,17.59287028022893,17.722807476114625,59.06688543015798,50.49326955201613 
 01/04  03:00:00,19.1969145960728,18.251874053133598,16.86531094126501,17.537488972252756,17.64226124564143,59.069998931827485,50.46004805651962 
 01/04  04:00:00,19.1751926393436,18.176869511534917,16.81409217680204,17.51533572756957,17.5859049900377,58.944510393683785,50.42714239858975 
 01/04  05:00:00,19.188749318070485,18.1344087521372,16.78983290060568,17.52103154845672,17.555028511053305,58.8473012753757,50.39406716879458 
